ngày yêu thương	nguyễn hồng ân	ngay-yeu-thuong-nguyen-hong-an
sài gòn, sài gòn	nhiều nghệ sĩ	sai-gon-sai-gon-justin-nguyen-mai-tien-dung-ky-phuong-uyen-nhu-loan-toc-tien-diem-suong-lam-anh-anh-minh
chính em	hana phan hân	chinh-em-hana-phan-han
lần đầu lần cuối	đàm vĩnh hưng	lan-dau-lan-cuoi-dam-vinh-hung
giờ em khác rồi	trương chí lâm	gio-em-khac-roi-truong-chi-lam
anh vẫn mong em hạnh phúc	thiên trường	anh-van-mong-em-hanh-phuc-thien-truong
anh không muốn ra đi	nguyễn phi hùng	anh-khong-muon-ra-di-nguyen-phi-hung
xuống chòi đợi mau lên em	hoài sơn	xuong-choi-doi-mau-len-em-hoai-son
bắt đầu lại thôi	hồ xuân đào	bat-dau-lai-thoi-ho-xuan-dao
anh không thể	bằng cường	anh-khong-the-bang-cuong
yêu người khác để quên em	khánh phương	yeu-nguoi-khac-de-quen-em-khanh-phuong
hoàn hảo như thiên sứ	lương bằng quang	hoan-hao-nhu-thien-su-luong-bang-quang
chắp tay sen nở	bé ngọc ngân	chap-tay-sen-no-be-ngoc-ngan
chuyện tình buồn trăm năm	anh thư nguyễn phước lộc	chuyen-tinh-buon-tram-nam-anh-thu-nguyen-phuoc-loc
sao cô ấy không yêu tôi	cm1x freaky lyhan	sao-co-ay-khong-yeu-toi-freaky-lyhan-cm1x
cơn mưa hạ	dương minh ngọc	con-mua-ha-duong-minh-ngoc
vì sao anh không đến	tiến dũng trà my idol	vi-sao-anh-khong-den-tra-my-idol-tien-dung
yêu thương ngủ quên	phạm huy du	yeu-thuong-ngu-quen-pham-huy-du
bạc lòng	đinh thiên hương	bac-long-dinh-thien-huong
chẳng qua nỗi nhớ vẫn đong đầy	thu thủy	chang-qua-noi-nho-van-dong-day-thu-thuy
nhớ thành phố hoa đào	đức cần	nho-thanh-pho-hoa-dao-duc-can
em là nàng tiên của đời anh	đông phương tường	em-la-nang-tien-cua-doi-anh-dong-phuong-tuong
lk dạ cổ hoài lang	hồng quyên thùy dương	lk-da-co-hoai-lang-thuy-duong-hong-quyen
nàng xuân	văn hương	nang-xuan-van-huong
chẳng ai khác ngoài em	âu nam thái	chang-ai-khac-ngoai-em-au-nam-thai
phim giả tình thật	hồ anh dũng	phim-gia-tinh-that-ho-anh-dung
đóa hồng đẫm máu	minh tuyết	doa-hong-dam-mau-minh-tuyet
về đâu tình hỡi	dương minh kiệt	ve-dau-tinh-hoi-duong-minh-kiet
ăn tết	bảo kun hoàng rapper	an-tet-hoang-rapper-bao-kun
khi mưa khóc	ksanz n' gun kunzing	khi-mua-khoc-kunzing-ksanz-n-gun
hãy yêu anh đi	hoàng nhật trung	hay-yeu-anh-di-hoang-nhat-trung
bóng mát đời con	the bells	bong-mat-doi-con-the-bells
một tình yêu hai thử thách	luân ken	mot-tinh-yeu-hai-thu-thach-luan-ken
lời hứa sau cùng	thương	loi-hua-sau-cung-thuong
ngại mở lời	handrytion wrc	ngai-mo-loi-handrytion-wrc
cố chấp yêu một người	giang nguyễn	co-chap-yeu-mot-nguoi-giang-nguyen
khoảnh khắc yêu	saka trương tuyền	khoanh-khac-yeu-saka-truong-tuyen
giọt chiều	khánh ngọc	giot-chieu-khanh-ngoc
ở rễ	hoàng tuấn linh	o-re-hoang-tuan-linh
chỉ một lần xả là đủ	cát tường	chi-mot-lan-xa-la-du-cat-tuong
chợt nghe bước em về	hoàng hoa	chot-nghe-buoc-em-ve-hoang-hoa
đám cưới trên đường quê hương	mỹ anh	dam-cuoi-tren-duong-que-huong-my-anh
khi anh cười là lúc em khóc	hoàng châu	khi-anh-cuoi-la-luc-em-khoc-hoang-chau
đợi em đến bao giờ	bằng cường	doi-em-den-bao-gio-bang-cuong
em đã biết	suni hạ linh	em-da-biet-suni-ha-linh
đón đông	minh minh	don-dong-minh-minh
nắng hát	lưu hương giang	nang-hat-luu-huong-giang
anh tin anh sẽ quên em	a huy	anh-tin-anh-se-quen-em-a-huy
cõi mơ	điền thái toàn	coi-mo-dien-thai-toan
lạnh trọn đêm mưa	lâm trí tú	lanh-tron-dem-mua-lam-tri-tu
đời cuốn xa dần	đức tiến	doi-cuon-xa-dan-duc-tien
hạnh phúc là mùa xuân	giang nguyễn	hanh-phuc-la-mua-xuan-giang-nguyen
xa dấu mặt trời	giang trang	xa-dau-mat-troi-giang-trang
vẫn tương tư	trang tạ	van-tuong-tu-trang-ta
tự tình lòng mẹ	lê như	tu-tinh-long-me-le-nhu
sao phải quên	du thiên	sao-phai-quen-du-thien
cô hàng xóm	châu thanh	co-hang-xom-chau-thanh
trôi	bụi gió	troi-bui-gio
nhớ về đồng đội	hoàng việt trang	nho-ve-dong-doi-hoang-viet-trang
môi xinh nụ cười	mai tiến dũng	moi-xinh-nu-cuoi-mai-tien-dung
lk nhẫn cưới	lý diệu linh	lk-nhan-cuoi-ly-dieu-linh
lần đầu	bảo anh	lan-dau-bao-anh-mr-a
em nơi nào	khói roy p	em-noi-nao-roy-p-khoi
thôi anh hãy về đi	như hoa	thoi-anh-hay-ve-di-nhu-hoa
thiên thần hộp nhạc	lương bích hữu	thien-than-hop-nhac-luong-bich-huu
nàng kiều lỡ bước	lý hào nam	nang-kieu-lo-buoc-ly-hao-nam
à ra là thế	bùi việt hà	a-ra-la-the-bui-viet-ha
việt nam quyết thắng	vương bảo nam	viet-nam-quyet-thang-vuong-bao-nam
tuyệt mệnh tình yêu	vương triệu anh	tuyet-menh-tinh-yeu-vuong-trieu-anh
em vẫn chưa thoát ế	cô ú	em-van-chua-thoat-e-co-u
người tình đẹp trai	saka trương tuyền	nguoi-tinh-dep-trai-saka-truong-tuyen
tình em tháp mười	ân thiên vỹ	tinh-em-thap-muoi-an-thien-vy
ngỡ sẽ quên em	dương minh kiệt	ngo-se-quen-em-duong-minh-kiet
ô cửa sổ, cô gái, phụ nữ và phận đàn bà	ling	o-cua-so-co-gai-phu-nu-va-phan-dan-ba-ling
xin...dù chỉ một lần	ken busker only t	xin-du-chi-mot-lan-only-t-ken-busker
người giàu cũng khổ	lương mạnh hùng	nguoi-giau-cung-kho-luong-manh-hung
hoa trinh nữ	bảo hân bolero	hoa-trinh-nu-bao-han-bolero
thương mẹ	hà quang	thuong-me-ha-quang
không thể thiếu em	quốc trung sg	khong-the-thieu-em-quoc-trung
chính lả em đó	kayson	chinh-la-em-do-kayson
mẹ đã già	jin tuấn nam	me-da-gia-jin-tuan-nam
lk hồ hoài anh	hồ hoài anh lưu hương giang	lk-ho-hoai-anh-luu-huong-giang-ho-hoai-anh
sau mùa bóng đá	khánh đơn	sau-mua-bong-da-khanh-don
ai sẽ cảm thông	nhất vũ	ai-se-cam-thong-nhat-vu
ngẫu nhiên	3 con mèo	ngau-nhien-3-con-meo
à ơi	gia khiêm	a-oi-gia-khiem
rào cản vô hình	chế đình cường thanh ngọc	rao-can-vo-hinh-che-dinh-cuong-thanh-ngoc
vọng nguyệt	jin tuấn nam	vong-nguyet-jin-tuan-nam
tình bay	dương thiện lâm	tinh-bay-duong-thien-lam
bình yên nơi em	tùng anh	binh-yen-noi-em-tung-anh
trái tim hồng	triệu trang	trai-tim-hong-trieu-trang
lời hứa đầu năm, ngày tết quê em (team pb nation - phúc bồ - dj lê trình)	pb nation	loi-hua-dau-nam-ngay-tet-que-em-team-pb-nation-phuc-bo-dj-le-trinh-pb-nation
hỡi em đừng vội cách xa	trương thế nhân	hoi-em-dung-voi-cach-xa-truong-the-nhan
mặt đắng tình yêu	hoàng lan	mat-dang-tinh-yeu-hoang-lan
chúc em yên bình	thiệu tân	chuc-em-yen-binh-thieu-tan
lạc vào thế giới anh	kiwi ngô mai trang	lac-vao-the-gioi-anh-kiwi-ngo-mai-trang
lk nghèo	nguyễn đoàn tăng du hạo đoàn việt phương	lk-ngheo-doan-viet-phuong-nguyen-doan-tang-du-hao
hạt giống việt	bé đan thư	hat-giong-viet-be-dan-thu
bưởi ơi	lâm trí hải	buoi-oi-lam-tri-hai
yêu em quá đi	karik	yeu-em-qua-di-karik
cuộc sống còn dài...	l.j phutoro	cuoc-song-con-dai-phutoro-l-j
tình chúa cao vời	bé gia vy bé thiên phúc	tinh-chua-cao-voi-be-gia-vy-be-thien-phuc
mãi có em bên mình	nathan lee thu minh	mai-co-em-ben-minh-nathan-lee-thu-minh
giáng sinh chan hòa	kick nguyễn nam hiếu	giang-sinh-chan-hoa-nguyen-nam-hieu-kick
ngăn cách từ đây	mỹ lệ	ngan-cach-tu-day-my-le
bởi thế anh yêu em	quang hà	boi-the-anh-yeu-em-quang-ha
nhá máy đêm	đoàn việt phương	nha-may-dem-doan-viet-phuong
đời không còn nhau	trần ngọc tuấn	doi-khong-con-nhau-tran-ngoc-tuan
em hãy quên anh	gia ân	em-hay-quen-anh-gia-an
thân cò	từ thức	than-co-tu-thuc
cô tấm ngày nay	tik tik tak	co-tam-ngay-nay-tik-tik-tak
ao cá đợi chờ	hoàng minh thắng	ao-ca-doi-cho-hoang-minh-thang
ngã rẽ	lam anh	nga-re-lam-anh
con tim tôi	dương 565	con-tim-toi-duong-565
lệ	phùng ngọc huy	le-phung-ngoc-huy
tình yêu tái sinh	khánh phương vi nhạn ngọc	tinh-yeu-tai-sinh-khanh-phuong-vi-nhan-ngoc
chiếc thuyền từ lý	hoàng việt trang	chiec-thuyen-tu-ly-hoang-viet-trang
em như nụ hồng	phương thùy	em-nhu-nu-hong-phuong-thuy
em chỉ cần đưa tay ra	nhiều nghệ sĩ	em-chi-can-dua-tay-ra-hai-phong-sound-ngan-dlblack-tyt-mr-ok-madwind
một người quên một người	anh thúy	mot-nguoi-quen-mot-nguoi-anh-thuy
hạt sương (r&b)	thành anh tú t.a.t	hat-suong-r-b-thanh-anh-tu-t-a-t
gửi em lời xin lỗi	đăng khôi	gui-em-loi-xin-loi-dang-khoi
một khoảng trời bơ vơ	thiên kim	mot-khoang-troi-bo-vo-thien-kim
điều ước ánh trăng vàng	khánh phương	dieu-uoc-anh-trang-vang-khanh-phuong
đâu ngờ tình dang dở	gia lạc	dau-ngo-tinh-dang-do-gia-lac
ngọn lửa trái tim	minh chuyên	ngon-lua-trai-tim-minh-chuyen
yêu theo cách của teen	lý hoàng	yeu-theo-cach-cua-teen-ly-hoang
xôn xao mùa hè	nguyễn hải phong	xon-xao-mua-he-nguyen-hai-phong
hẹn ước	triệu hoàng	hen-uoc-trieu-hoang
nước mắt anh	nghiêm viết dũng	nuoc-mat-anh-nghiem-viet-dung
cà phê, phố và em	từ hiền trang	ca-phe-pho-va-em-tu-hien-trang
lk: tình yêu còn đâu	mỹ tâm đàm vĩnh hưng	lk-tinh-yeu-con-dau-dam-vinh-hung-my-tam
em ơi… à	bảo jen key ntp	em-oi-a-key-ntp-bao-jen
trái đất tròn không gì là không thể	bùi minh hoàng vân vân	trai-dat-tron-khong-gi-la-khong-the-bui-minh-hoang-van-van
tình vẫn còn xanh	thy dung	tinh-van-con-xanh-thy-dung
hạt cát	khởi my	hat-cat-khoi-my
bên em thành phố biển	huỳnh lợi	ben-em-thanh-pho-bien-huynh-loi
một năm, hai năm và mãi mãi	lâm quang duy	mot-nam-hai-nam-va-mai-mai-lam-quang-duy
nhắc lại tình đầu	sendoh	nhac-lai-tinh-dau-sendoh
tiếng gà quê	bé bảo an	tieng-ga-que-ruby-bao-an
ngoéo tay nhau thề	giang tử	ngoeo-tay-nhau-the-giang-tu
mình đã xa nhau	thanh trúc	minh-da-xa-nhau-thanh-truc
đừng để nguời ta thấy tôi khóc	lâm chấn khang	dung-de-nguoi-ta-thay-toi-khoc-lam-chan-khang
lạc lối acoustic	vang quốc hải	lac-loi-acoustic-vang-quoc-hai
hành trình những nụ cười	nhiều nghệ sĩ	hanh-trinh-nhung-nu-cuoi-nam-cuong-phuong-my-chi-be-ben-be-trang-thu-minh-khang
yêu em mọi thứ	rick	yeu-em-moi-thu-rick
ga chiều	thanh thanh tâm trọng hữu	ga-chieu-trong-huu-thanh-thanh-tam
em ngang qua đây	trịnh gia hân	em-ngang-qua-day-trinh-gia-han
tiếng chuông tình yêu	đỗ ái tử	tieng-chuong-tinh-yeu-do-ai-tu
làm vợ anh đi	trương bảo anh	lam-vo-anh-di-truong-bao-anh
khó để buông tay	minh tài	kho-de-buong-tay-minh-tai
ngày thường	đông hùng	ngay-thuong-dong-hung
anh buông tay em nhé	đoàn duy thành	anh-buong-tay-em-nhe-doan-duy-thanh
đường đời	việt hoàn	duong-doi-viet-hoan
liên khúc: tuổi học trò, trường cũ tình xưa	vương minh kiệt	lien-khuc-tuoi-hoc-tro-truong-cu-tinh-xua-vuong-minh-kiet
có em anh có cả thế giới	phạm tuấn tài	co-em-anh-co-ca-the-gioi-pham-tuan-tai
sóc sờ bai sóc trăng	hải vy	soc-so-bai-soc-trang-hai-vy
khoảnh khắc cuối	phương anh trần	khoanh-khac-cuoi-phuong-anh-tran
chúc phúc mùa xuân (song ca)	bé ngọc ngân	chuc-phuc-mua-xuan-song-ca-be-ngoc-ngan
mãi nhớ em	huy pt	mai-nho-em-phuong-the-huy
tắt đèn	đỗ tùng lâm	tat-den-do-tung-lam
mười sáu	thư lê	muoi-sau-thu-le
bóng tối riêng anh	vương bảo khang	bong-toi-rieng-anh-vuong-bao-khang
cuộc đời phía trước	hiền thục quang hà	cuoc-doi-phia-truoc-quang-ha-hien-thuc
giới hạn	khởi my	gioi-han-khoi-my
nước mắt chảy thành sông	lưu nhật hào	nuoc-mat-chay-thanh-song-luu-nhat-hao
đi tìm nắng hạ	khánh duy	di-tim-nang-ha-khanh-duy
hãy chấp nhận	khucmay	hay-chap-nhan-khucmay
chuyện tình thảo nguyên	y jalin	chuyen-tinh-thao-nguyen-y-jalin
tìm về lại ngày ấy	kiun gia tuấn	tim-ve-lai-ngay-ay-kiun-gia-tuan
thà nghèo còn hơn	lưu gia bảo	tha-ngheo-con-hon-luu-gia-bao
bên em luôn có một người	y jalin	ben-em-luon-co-mot-nguoi-y-jalin
ngộ ái nị	châu việt cường	ngo-ai-ni-chau-viet-cuong
trái tim khép lại	vương hoàng	trai-tim-khep-lai-vuong-hoang
súc sắc súc sẽ	bé bảo an mai vàng phi long	suc-sac-suc-se-mai-vang-phi-long-be-bao-an
cô bé miền tây	akin vũ	co-be-mien-tay-akin-vu
thanh niên truẩn	cratie sativa to$ka	thanh-nien-truan-to-ka-sativa-cratie
dạy anh cách quên em đi	triệu việt quân	day-anh-cach-quen-em-di-trieu-viet-quan
chẳng còn thời gian để giận hờn	hoàng yến chibi	chang-con-thoi-gian-de-gian-hon-hoang-yen-chibi
liên khúc mưa chiều kỉ niệm	linh nguyễn quang thành	lien-khuc-mua-chieu-ki-niem-linh-nguyen-quang-thanh
lời trái tim em	thu thủy	loi-trai-tim-em-thu-thuy
ảo ảnh	anh dũng	ao-anh-anh-dung
giấc mộng liêu trai	lâm chấn huy	giac-mong-lieu-trai-lam-chan-huy
ngày đó chúng mình	nguyên thảo	ngay-do-chung-minh-nguyen-thao
liên khúc dàn đồng ca mùa hạ	trịnh nhật minh	lien-khuc-dan-dong-ca-mua-ha-trinh-nhat-minh
ru con tình cũ	tường vi	ru-con-tinh-cu-tuong-vy
tết này con sẽ về nhà	v.music new	tet-nay-con-se-ve-nha-v-music-new
và ngày ấy đã đến	băng di	va-ngay-ay-da-den-bang-di
đón trung thu	tam ca áo trắng	don-trung-thu-tam-ca-ao-trang
đêm lao xao	anh khang quỳnh trang	dem-lao-xao-anh-khang-quynh-trang
giấc mơ (cơm tấm tình yêu ost)	hoàng nghi lâm	giac-mo-com-tam-tinh-yeu-ost-hoang-nghi-lam
mắt đẹp	trương đan huy	mat-dep-truong-dan-huy
hoa hồng đỏ	mắt ngọc	hoa-hong-do-mat-ngoc
đợi một người	tiểu doanh	doi-mot-nguoi-tieu-doanh
nếu lỡ hết yêu	lê sơn tùng	neu-lo-het-yeu-le-son-tung
xin chào đã lâu không gặp	vũ khánh dương	xin-chao-da-lau-khong-gap-vu-khanh-duong
đời là vô thường	cao đại hưng	doi-la-vo-thuong-cao-dai-hung
em phải tin vào điều đó	lương tùng quang như loan	em-phai-tin-vao-dieu-do-luong-tung-quang-nhu-loan
mỗi người một ánh sao	trương khải minh	moi-nguoi-mot-anh-sao-truong-khai-minh
yêu em chỉ một ngày	sang bùi	yeu-em-chi-mot-ngay-sang-bui
xin đời bình yên (laisse - moi tranquille)	kim châu	xin-doi-binh-yen-laisse-moi-tranquille-kim-chau
không nghe không thấy sẽ không đau	hoàng châu	khong-nghe-khong-thay-se-khong-dau-hoang-chau
phong nguyệt	cyrus thiên ân quốc anh	phong-nguyet-cyrus-thien-an-quoc-anh
nỗi lòng tình quê	trinh tuyết hương	noi-long-tinh-que-trinh-tuyet-huong
làm sao để yêu	hari won	lam-sao-de-yeu-hari-won
anh là chú rể (dj phơ nguyễn)	khánh đơn	anh-la-chu-re-dj-pho-nguyen-khanh-don
nhớ lúc bé	mây trắng	nho-luc-be-may-trang
mùa mưa này em đang ở đâu	đức long	mua-mua-nay-em-dang-o-dau-duc-long
mây của trời cứ để gió cuốn đi	bãoz fantom	may-cua-troi-cu-de-gio-cuon-di-fantom-baoz
có lẽ vậy	justin nguyễn	co-le-vay-justin-nguyen
liên khúc mai lỡ hai mình xa nhau	quang thi thanh ngân	lien-khuc-mai-lo-hai-minh-xa-nhau-thanh-ngan-quang-thi
hãy yêu một lần nữa	khánh ngọc nhật tinh anh	hay-yeu-mot-lan-nua-nhat-tinh-anh-khanh-ngoc
chim câu ngực gầy	mtv	chim-cau-nguc-gay-mtv
giấc mơ đêm mùa đông	tuấn khang	giac-mo-dem-mua-dong-tuan-khang
chiếc bánh bò	lưu chí vỹ	chiec-banh-bo-luu-chi-vy
nhớ em vô cùng	lâm chấn kiệt	nho-em-vo-cung-lam-chan-kiet
nhẫn cưới màu pence	thanh nguyễn thy nhung	nhan-cuoi-mau-pence-thanh-nguyen-thy-nhung
mặt trời của tôi (o sole mio)	ac m	mat-troi-cua-toi-o-sole-mio-ac-amp-m
hãy yêu anh như anh đã yêu em	duy khoa	hay-yeu-anh-nhu-anh-da-yeu-em-duy-khoa
chỉ còn một mình em	hoàng linh anh	chi-con-mot-minh-em-hoang-linh-anh
trái tim an bình	minh thuận mỹ tâm	trai-tim-an-binh-minh-thuan-my-tam
người đã quên tình tôi	hồ quang lộc	nguoi-da-quen-tinh-toi-ho-quang-loc
không sao em quen rồi	sha băng	khong-sao-em-quen-roi-sha-bang
bí mật của nỗi buồn	dương bảo ngọc nam cường	bi-mat-cua-noi-buon-nam-cuong-duong-bao-ngoc
yêu một người là dại	lưu chí vỹ	yeu-mot-nguoi-la-dai-luu-chi-vy
sao em không như lời em hứa	dương 565	sao-em-khong-nhu-loi-em-hua-duong-565
nắng trong mưa	lâm nguyên	nang-trong-mua-lam-nguyen
trong mưa	zina bya	trong-mua-zina-bya
mượn lại nụ hôn	nguyên chấn phong	muon-lai-nu-hon-nguyen-chan-phong
tiễn đưa	diệu hiền	tien-dua-dieu-hien
lúc ban đầu	nhất khang	luc-ban-dau-nhat-khang
vết thương vô hình	hồ quang hiếu	vet-thuong-vo-hinh-ho-quang-hieu
hồng chiêu nguyên	reii	hong-chieu-nguyen-reii
chờ nhìn quê hương sáng chói	khánh ly	cho-nhin-que-huong-sang-choi-khanh-ly
ơi con sông ngàn phố	lê ngọc thúy	oi-con-song-ngan-pho-le-ngoc-thuy
những nụ cười trở lại	lưu minh tuấn mắt ngọc	nhung-nu-cuoi-tro-lai-luu-minh-tuan-mat-ngoc
đóng băng kỷ niệm	triệu quốc đạt	dong-bang-ky-niem-trieu-quoc-dat
tiếng kinh cầu xa	lưu chấn long	tieng-kinh-cau-xa-luu-chan-long
khung trời xanh kia	cá hồi hoang	khung-troi-xanh-kia-ca-hoi-hoang
nhạc dj	dj soda	nhac-dj-dj-soda
khoảng cách không buồn sầu	vương thiên bảo	khoang-cach-khong-buon-sau-vuong-thien-bao
áo anh sứt chỉ đường tà	trần thái hòa	ao-anh-sut-chi-duong-ta-tran-thai-hoa
vui trong ánh đạo	nhiều nghệ sĩ	vui-trong-anh-dao-quach-tuan-du-bang-cuong-vo-ha-tram-thu-trang
lk vu lan nhớ mẹ	quách tĩnh trường sơn	lk-vu-lan-nho-me-truong-son-quach-tinh
em là cô dâu	lương bích hữu	em-la-co-dau-luong-bich-huu
tạm biệt tình yêu	lưu bích nguyễn hưng	tam-biet-tinh-yeu-nguyen-hung-luu-bich
diễm xưa	ánh tuyết	diem-xua-anh-tuyet
kỷ niệm nào vội tan	đinh khải anh	ky-niem-nao-voi-tan-dinh-khai-anh
nỗi lòng xa quê	kim linh	noi-long-xa-que-kim-linh
lời biển hát	anna trương	loi-bien-hat-anna-truong
thập niên nhất kiếm	hoàng nghiệp rainy	thap-nien-nhat-kiem-hoang-nghiep-rainy
xót thương	wendy thảo	xot-thuong-wendy-thao
anh sẽ quay về	nhất khang	anh-se-quay-ve-nhat-khang
giờ con mới biết	hưng hồ quang đăng trần	gio-con-moi-biet-quang-dang-tran-hung-ho
thương tình nhân	đàm vĩnh hưng	thuong-tinh-nhan-dam-vinh-hung
ngọn đèn khuya	cao luân vũ	ngon-den-khuya-cao-luan-vu
xa rồi tóc mây	anh thúy	xa-roi-toc-may-anh-thuy
em đã kể anh nghe	hồ thiện quân	em-da-ke-anh-nghe-ho-thien-quan
cảm ơn em	nhật von	cam-on-em-nhat-von
hạnh phúc ảo	angel phương hà	hanh-phuc-ao-angel-phuong-ha
bờ cát mơ	việt hoàn	bo-cat-mo-viet-hoan
tội tình	ngọc sơn	toi-tinh-ngoc-son
mãi mãi là tình nhân	đông duy	mai-mai-la-tinh-nhan-dong-duy
người mua vui	vương tuấn anh	nguoi-mua-vui-vuong-tuan-anh
ký ức muốn quên	đình bình	ky-uc-muon-quen-dinh-binh
chuyện ngưu lang chức nữ ngày nay	hàn thái tú	chuyen-nguu-lang-chuc-nu-ngay-nay-han-thai-tu
nguyễn và một cuộc tình	kim khánh nguyễn	nguyen-va-mot-cuoc-tinh-kim-khanh-nguyen
lặng im	bb thy	lang-im-bb-thy
họa mi hát	tô thiên kim	hoa-mi-hat-to-thien-kim
viết thư tình	quang thi thanh ngân	viet-thu-tinh-thanh-ngan-quang-thi
sao em vô tâm	lê bửu đa	sao-em-vo-tam-le-buu-da
ngại gì khác biệt	soobin hoàng sơn	ngai-gi-khac-biet-soobin-hoang-son
cô gái đáng thương	thành đại siêu	co-gai-dang-thuong-thanh-dai-sieu
vui hội trăng rằm	bé bảo an	vui-hoi-trang-ram-be-bao-an
liên khúc: ngô thụy miên	nguyên khang	lien-khuc-ngo-thuy-mien-diem-lien-nguyen-khang
cuối tuần	hana phan hân	cuoi-tuan-hana-phan-han
em đâu rồi	chế phong	em-dau-roi-che-phong
không còn yêu	đàm thu trang	khong-con-yeu-dam-thu-trang
không đổi thay	đặng nguyên minh	khong-doi-thay-dang-nguyen-minh
hán đế biệt chiêu quân	ngọc hương thanh hải	han-de-biet-chieu-quan-ngoc-huong-thanh-hai
vẫn yêu người yêu cũ	linh hee	van-yeu-nguoi-yeu-cu-linh-hee
lo gì	lm.jb.nguyễn sang	lo-gi-lm-jb-nguyen-sang
đã lỡ rồi	diệu hiền hữu phước	da-lo-roi-huu-phuoc-dieu-hien
vạn kiếp sau	rhy	van-kiep-sau-rhy
rap về doraemon	phan ann	rap-ve-doraemon-phan-ann
gót ngọc	diễm quyên ngọc linh	got-ngoc-ngoc-linh-diem-quyen
nơi câu chuyện yêu (tropical)	nguyễn quân	noi-cau-chuyen-yeu-tropical-nguyen-quan
cảm nắng	rtee suni hạ linh	cam-nang-suni-ha-linh-rtee
nước mắt học trò	đường hưng	nuoc-mat-hoc-tro-duong-hung-tam-ho
bích đét đi đẹp trai (tinyc mix)	bigdaddy	bich-det-di-dep-trai-tinyc-mix-bigdaddy
gặp lại	ken nguyễn	gap-lai-ken-nguyen
gọi tên em niềm đau	fame chí thành	goi-ten-em-niem-dau-fame-chi-thanh
yêu thương cho anh	phương my	yeu-thuong-cho-anh-phuong-my
xem nỗi đau kia là hạnh phúc	lê anh khôi	xem-noi-dau-kia-la-hanh-phuc-le-anh-khoi
mashup cùng đi	tag team	mashup-cung-di-tag-team
tân nhật quê tôi	linh phương minh trường	tan-nhat-que-toi-minh-truong-linh-phuong
nếu họ không thương em	quân táo	neu-ho-khong-thuong-em-quan-tao
từ nghìn năm nơi hang bê-lem	nhóm cát trắng	tu-nghin-nam-noi-hang-be-lem-nhom-cat-trang
valentine chờ	huyền zinky	valentine-cho-huyen-zinky
mirror, mirror! gương thần gương thần	thanh bùi	mirror-mirror-guong-than-guong-than-thanh-bui
